date;1-Ain;2-Aisne;3-Allier;4-Alpes-de-Haute-Provence;5-Hautes-Alpes;6-Alpes-Maritimes;7-Ardèche;8-Ardennes;9-Ariège;10-Aube;11-Aude;12-Aveyron;13-Bouches-du-Rhône;14-Calvados;15-Cantal;16-Charente;17-Charente-Maritime;18-Cher;19-Corrèze;21-Côte-d'Or;22-Côtes d'Armor;23-Creuse;24-Dordogne;25-Doubs;26-Drôme;27-Eure;28-Eure-et-Loir;29-Finistère;2A-Corse-du-Sud;2B-Haute-Corse;30-Gard;31-Haute-Garonne;32-Gers;33-Gironde;34-Hérault;35-Ille-et-Vilaine;36-Indre;37-Indre-et-Loire;38-Isère;39-Jura;40-Landes;41-Loir-et-Cher;42-Loire;43-Haute-Loire;44-Loire-Atlantique;45-Loiret;46-Lot;47-Lot-et-Garonne;48-Lozère;49-Maine-et-Loire;50-Manche;51-Marne;52-Haute-Marne;53-Mayenne;54-Meurthe-et-Moselle;55-Meuse;56-Morbihan;57-Moselle;58-Nièvre;59-Nord;60-Oise;61-Orne;62-Pas-de-Calais;63-Puy-de-Dôme;64-Pyrénées-Atlantiques;65-Hautes-Pyrénées;66-Pyrénées-Orientales;67-Bas-Rhin;68-Haut-Rhin;69-Rhône;70-Haute-Saône;71-Saône-et-Loire;72-Sarthe;73-Savoie;74-Haute-Savoie;75-Paris;76-Seine-Maritime;77-Seine-et-Marne;78-Yvelines;79-Deux-Sèvres;80-Somme;81-Tarn;82-Tarn-et-Garonne;83-Var;84-Vaucluse;85-Vendée;86-Vienne;87-Haute-Vienne;88-Vosges;89-Yonne;90-Territoire de Belfort;91-Essonne;92-Hauts-de-Seine;93-Seine-St-Denis;94-Val-de-Marne;95-Val-D'Oise;971-Guadeloupe;972-Martinique;973-Guyane;974-La Réunion;976-Mayotte
31-05-2020;91;155;10;14;27;110;40;36;2;55;14;7;570;55;15;6;25;54;45;44;40;20;14;33;48;77;156;26;24;3;69;58;6;118;33;70;90;90;81;27;9;100;207;15;128;117;10;18;1;102;47;135;64;18;142;37;62;454;11;572;300;47;260;18;9;16;2;496;539;496;50;130;81;34;106;926;108;411;572;8;127;13;6;135;30;56;13;14;65;64;57;646;1061;929;1087;537;13;13;22;20;47
07-06-2020;74;144;14;13;20;97;29;29;2;34;6;7;517;49;13;6;23;50;0;35;32;16;11;28;42;69;141;24;21;4;57;44;5;100;26;60;88;87;70;21;7;91;156;11;101;104;5;10;0;87;46;121;39;12;129;35;50;389;12;528;285;40;220;18;7;10;2;440;461;362;35;97;59;32;102;810;99;399;500;3;117;7;4;118;28;51;10;13;53;54;42;615;936;865;863;494;12;10;37;20;44
14-06-2020;64;124;13;4;9;89;20;16;1;29;6;6;486;39;9;4;22;44;0;28;28;8;12;24;36;59;128;19;16;2;41;45;3;84;15;55;82;74;58;19;5;89;115;4;78;89;1;6;0;83;43;105;29;9;120;15;36;329;10;494;266;36;202;18;4;9;1;371;378;298;19;59;59;23;97;709;93;337;470;3;94;7;3;104;30;38;8;10;40;29;33;501;862;784;777;436;12;8;60;22;45
21-06-2020;61;118;10;3;9;67;2;13;1;28;6;1;447;27;9;4;15;42;0;24;19;7;12;22;25;51;98;18;15;1;24;40;2;71;11;51;81;67;57;12;5;88;104;2;66;83;1;8;0;68;36;93;29;8;105;18;29;297;11;471;250;40;200;17;1;5;1;357;330;195;19;38;39;25;95;612;96;293;445;3;83;5;3;102;28;26;7;5;37;20;27;474;807;759;664;387;6;12;111;24;37
28-06-2020;51;100;7;3;8;46;1;9;1;25;6;1;386;21;9;2;9;33;0;25;13;4;1;19;26;47;97;14;13;1;17;30;2;50;10;42;81;64;39;15;4;86;91;2;47;65;1;4;0;55;35;89;30;5;90;10;27;286;8;422;239;32;187;17;0;5;0;313;285;176;19;28;35;19;87;581;90;269;369;2;80;4;3;94;14;21;1;4;34;24;23;359;743;707;621;349;8;14;134;18;34
05-07-2020;45;98;6;4;7;33;1;8;1;25;2;1;337;20;9;2;7;31;0;11;9;3;1;10;25;34;83;13;12;1;12;29;1;42;5;35;81;61;33;6;6;86;84;1;35;62;0;1;0;47;35;81;23;7;78;4;24;251;8;401;226;33;162;16;0;3;0;291;221;152;18;24;33;15;78;482;95;244;359;2;72;2;3;85;5;15;1;4;26;22;10;337;690;656;593;291;10;15;145;21;28
12-07-2020;40;62;7;3;7;30;1;9;1;23;2;1;337;18;9;2;6;22;0;10;5;3;1;11;26;35;67;11;11;1;8;23;1;42;2;35;81;55;31;4;4;89;72;1;28;55;0;1;0;47;35;77;22;12;63;3;21;232;7;254;205;33;128;15;0;2;2;243;205;151;15;17;34;14;72;406;88;218;337;2;48;2;3;78;4;14;1;1;25;19;7;283;621;622;523;276;10;14;154;20;13
19-07-2020;38;62;6;2;5;34;3;4;1;23;3;1;321;14;9;2;6;21;2;9;6;2;1;4;25;35;56;11;10;1;6;20;1;38;3;34;79;48;25;4;4;59;71;1;35;47;0;1;0;45;35;74;19;7;58;3;21;207;7;210;192;25;100;14;0;2;0;240;185;147;15;13;34;14;69;382;81;208;336;2;48;2;5;77;6;13;1;2;24;19;4;284;603;598;488;266;8;13;151;26;7
26-07-2020;31;58;3;2;3;33;1;3;1;22;6;0;290;14;9;2;5;9;1;7;9;2;1;1;20;38;52;10;9;1;5;19;1;37;3;31;79;40;23;2;3;60;73;1;9;43;0;0;0;34;32;71;19;12;54;2;18;158;0;187;140;21;86;15;1;2;0;187;153;109;0;9;28;9;70;282;43;189;331;2;41;1;5;51;8;10;3;2;8;15;0;275;565;554;308;254;6;11;152;23;12
02-08-2020;29;47;2;2;3;33;1;5;0;22;4;6;285;15;6;1;5;7;1;3;3;1;1;2;6;35;18;7;7;0;5;23;1;35;2;30;73;20;24;1;3;36;73;1;7;31;0;2;0;37;27;71;19;15;56;3;16;118;0;194;137;22;82;16;0;3;0;163;144;92;0;2;39;5;65;272;42;199;283;1;41;3;5;52;7;8;2;3;9;12;3;258;570;460;309;245;4;9;113;18;10
09-08-2020;27;48;2;2;4;51;2;2;0;21;3;4;282;12;5;1;7;6;2;2;2;1;1;1;6;36;18;6;7;0;5;22;1;28;5;33;41;22;22;0;2;35;76;1;15;21;0;4;0;24;25;42;18;18;52;1;19;116;0;178;138;23;83;18;1;3;0;132;146;83;0;3;38;5;43;283;32;194;282;1;40;2;3;49;9;7;1;3;6;13;4;241;554;461;312;228;3;5;125;22;9
16-08-2020;28;59;1;3;6;64;9;2;0;22;4;4;206;12;2;1;7;2;2;2;6;2;1;2;6;15;9;6;4;0;10;25;2;39;10;34;7;9;21;0;2;9;74;1;20;25;0;3;0;24;10;47;18;19;43;2;17;106;0;153;140;22;95;18;4;5;3;136;148;78;0;6;34;4;40;287;27;187;275;1;41;2;3;52;5;8;1;3;10;16;5;246;569;449;323;227;3;4;92;26;8
23-08-2020;25;45;1;4;3;69;14;1;0;23;5;4;216;6;2;1;5;1;3;3;6;2;1;2;6;15;6;7;4;2;5;37;2;42;23;35;8;12;23;0;2;9;47;2;20;24;1;9;1;26;9;49;18;19;44;2;18;95;0;153;135;16;94;17;3;5;5;123;142;76;0;3;33;4;25;297;25;163;240;0;45;9;4;58;10;9;2;1;12;10;2;251;528;430;311;223;11;11;82;45;6
30-08-2020;29;40;3;7;3;71;12;2;1;19;4;3;211;1;2;1;4;0;3;4;6;1;4;4;7;16;10;8;4;5;17;47;7;48;38;34;4;7;30;2;2;9;47;2;17;22;1;8;1;22;10;49;7;10;40;1;16;91;1;145;121;15;88;17;3;7;4;94;125;107;0;5;27;4;25;287;27;145;235;1;44;7;4;49;16;10;2;1;15;7;3;223;495;381;298;217;22;13;81;66;6
06-09-2020;27;38;3;7;4;84;12;3;1;11;9;6;303;2;7;1;5;3;4;9;3;0;4;3;6;16;10;8;4;10;18;55;4;65;55;36;3;7;36;2;2;12;47;2;15;22;1;11;0;24;9;39;7;9;47;2;14;85;3;138;120;8;84;23;7;3;8;79;87;171;2;5;26;9;24;301;28;149;236;0;40;6;5;48;28;6;1;5;15;8;3;215;528;368;298;210;31;13;52;69;5
13-09-2020;30;39;10;2;6;99;16;5;4;12;5;8;374;14;10;3;5;21;8;6;5;2;4;6;9;25;9;13;6;12;29;68;10;111;73;57;3;13;49;2;1;6;76;2;23;29;0;15;3;31;13;30;7;10;40;1;33;51;4;130;116;9;92;22;12;7;11;48;54;261;2;13;21;16;29;342;54;121;239;1;33;8;5;54;42;8;3;12;12;8;5;224;536;414;304;217;64;12;38;68;3
20-09-2020;33;44;14;3;6;147;8;8;5;18;9;16;451;25;12;2;11;18;10;11;9;0;10;7;15;39;12;23;7;16;47;80;11;142;86;69;3;31;81;3;8;8;104;21;32;27;0;13;3;35;14;30;9;5;49;4;56;61;7;165;123;11;113;43;32;6;14;58;54;330;2;31;20;17;29;313;84;98;188;3;33;14;10;58;55;11;10;20;11;9;5;136;262;349;274;114;99;21;22;76;5
27-09-2020;42;43;25;11;8;120;9;7;7;23;10;13;504;31;15;4;20;19;9;27;16;0;12;11;19;55;19;23;12;12;50;101;10;159;90;78;7;41;113;7;7;8;143;19;61;39;0;14;4;44;15;38;9;9;47;7;71;49;1;259;127;14;111;53;31;9;23;45;38;353;2;51;35;21;27;364;110;132;194;7;46;26;19;54;80;15;7;29;4;14;6;155;290;390;313;150;144;31;22;59;8
04-10-2020;33;50;17;9;18;127;8;10;9;21;8;16;540;36;10;4;33;22;8;32;15;5;18;10;31;58;21;21;10;15;73;147;11;180;93;67;9;36;132;6;11;16;164;6;56;42;6;20;4;54;12;41;13;9;44;13;68;59;6;325;89;19;125;50;58;11;18;39;40;364;2;48;47;23;38;453;130;140;206;8;67;39;22;58;90;17;3;26;1;18;8;190;337;410;359;164;189;34;23;53;10
11-10-2020;44;53;30;10;24;121;15;15;9;17;12;21;567;48;30;2;27;21;14;35;13;3;15;15;45;75;34;23;11;21;88;153;13;183;159;75;12;38;168;15;30;16;223;17;80;58;4;24;12;48;19;47;21;10;46;14;81;60;9;446;108;19;164;60;57;11;26;44;29;426;6;57;54;44;39;549;183;155;262;10;69;51;25;64;87;11;7;32;5;19;12;207;384;484;423;189;187;49;22;52;10
18-10-2020;63;80;81;21;43;183;48;18;19;28;20;31;677;78;42;6;31;38;18;58;26;13;21;26;91;96;54;34;14;27;118;185;17;193;187;95;17;43;264;35;46;17;367;26;117;78;6;22;18;84;34;62;27;18;70;17;59;65;14;661;137;22;217;131;55;21;43;80;38;651;22;107;64;96;69;649;256;192;311;6;87;73;55;94;141;28;7;45;12;24;16;266;460;499;456;221;158;60;19;52;10
25-10-2020;169;117;143;32;89;231;105;34;23;61;43;63;1096;112;46;8;60;78;32;95;37;22;42;43;159;108;84;42;23;35;197;227;23;241;262;126;22;61;495;82;47;22;573;81;162;126;10;35;28;159;48;86;37;43;86;19;90;165;16;1013;164;31;340;208;93;45;57;164;58;1046;29;198;80;160;172;906;375;290;413;27;121;78;72;165;220;47;22;75;46;48;36;433;571;621;624;306;155;65;20;46;13
01-11-2020;279;159;210;67;176;290;161;54;20;99;58;99;1378;188;50;19;90;115;66;158;56;44;55;95;265;156;195;81;36;41;269;322;25;288;358;211;48;83;751;152;50;58;775;146;267;190;23;53;52;232;101;132;56;56;185;42;135;225;42;1504;217;64;462;313;219;70;96;290;118;1445;66;297;119;297;381;1185;551;437;542;55;164;109;103;301;365;56;80;121;97;107;56;575;741;724;792;489;143;72;19;64;15
08-11-2020;385;216;233;104;169;409;216;81;42;108;83;110;1610;240;63;28;114;159;79;302;79;77;91;142;365;187;223;104;54;36;343;407;31;325;446;269;51;117;992;191;57;90;913;217;330;232;25;68;56;253;131;173;90;91;277;38;175;299;66;1599;267;99;670;356;337;112;118;447;184;1815;89;402;174;432;593;1379;633;555;696;75;209;133;110;435;486;87;133;144;151;161;97;646;873;859;962;532;130;72;18;72;13
15-11-2020;417;255;251;129;184;453;252;130;50;139;108;144;1574;278;51;52;102;195;75;371;81;101;100;206;426;229;233;126;47;34;352;407;40;387;451;296;73;162;1054;185;106;108;953;219;373;275;32;83;49;281;157;218;120;123;329;60;216;488;88;1651;309;128;784;372;411;178;135;508;241;1907;108;495;196;432;670;1373;646;574;759;81;194;155;92;465;486;97;156;145;222;197;126;721;897;864;973;532;118;64;13;84;13
22-11-2020;442;226;232;132;182;483;217;144;47;145;95;119;1356;254;78;64;95;169;78;367;69;77;95;230;318;200;245;99;38;21;328;359;42;373;385;289;72;150;996;200;107;107;895;226;341;257;48;81;43;276;162;207;141;132;369;57;198;553;98;1592;307;147;760;379;403;181;120;521;270;1697;97;538;207;378;589;1200;583;531;792;100;204;143;84;428;434;103;117;143;232;212;141;673;836;860;910;539;101;54;9;87;11
