date;1-Ain;2-Aisne;3-Allier;4-Alpes-de-Haute-Provence;5-Hautes-Alpes;6-Alpes-Maritimes;7-Ardèche;8-Ardennes;9-Ariège;10-Aube;11-Aude;12-Aveyron;13-Bouches-du-Rhône;14-Calvados;15-Cantal;16-Charente;17-Charente-Maritime;18-Cher;19-Corrèze;21-Côte-d'Or;22-Côtes d'Armor;23-Creuse;24-Dordogne;25-Doubs;26-Drôme;27-Eure;28-Eure-et-Loir;29-Finistère;2A-Corse-du-Sud;2B-Haute-Corse;30-Gard;31-Haute-Garonne;32-Gers;33-Gironde;34-Hérault;35-Ille-et-Vilaine;36-Indre;37-Indre-et-Loire;38-Isère;39-Jura;40-Landes;41-Loir-et-Cher;42-Loire;43-Haute-Loire;44-Loire-Atlantique;45-Loiret;46-Lot;47-Lot-et-Garonne;48-Lozère;49-Maine-et-Loire;50-Manche;51-Marne;52-Haute-Marne;53-Mayenne;54-Meurthe-et-Moselle;55-Meuse;56-Morbihan;57-Moselle;58-Nièvre;59-Nord;60-Oise;61-Orne;62-Pas-de-Calais;63-Puy-de-Dôme;64-Pyrénées-Atlantiques;65-Hautes-Pyrénées;66-Pyrénées-Orientales;67-Bas-Rhin;68-Haut-Rhin;69-Rhône;70-Haute-Saône;71-Saône-et-Loire;72-Sarthe;73-Savoie;74-Haute-Savoie;75-Paris;76-Seine-Maritime;77-Seine-et-Marne;78-Yvelines;79-Deux-Sèvres;80-Somme;81-Tarn;82-Tarn-et-Garonne;83-Var;84-Vaucluse;85-Vendée;86-Vienne;87-Haute-Vienne;88-Vosges;89-Yonne;90-Territoire de Belfort;91-Essonne;92-Hauts-de-Seine;93-Seine-St-Denis;94-Val-de-Marne;95-Val-D'Oise;971-Guadeloupe;972-Martinique;973-Guyane;974-La Réunion;976-Mayotte
31-05-2020;91;155;10;14;27;110;40;36;2;55;14;7;570;55;15;6;25;54;45;44;40;20;14;33;48;77;156;26;24;3;69;58;6;118;33;70;90;90;81;27;9;100;207;15;128;117;10;18;1;102;47;135;64;18;142;37;62;454;11;572;300;47;260;18;9;16;2;496;539;496;50;130;81;34;106;926;108;411;572;8;127;13;6;135;30;56;13;14;65;64;57;646;1061;929;1087;537;13;13;22;20;47
07-06-2020;74;144;14;13;20;97;29;29;2;34;6;7;517;49;13;6;23;50;0;35;32;16;11;28;42;69;141;24;21;4;57;44;5;100;26;60;88;87;70;21;7;91;156;11;101;104;5;10;0;87;46;121;39;12;129;35;50;389;12;528;285;40;220;18;7;10;2;440;461;362;35;97;59;32;102;810;99;399;500;3;117;7;4;118;28;51;10;13;53;54;42;615;936;865;863;494;12;10;37;20;44
14-06-2020;64;124;13;4;9;89;20;16;1;29;6;6;486;39;9;4;22;44;0;28;28;8;12;24;36;59;128;19;16;2;41;45;3;84;15;55;82;74;58;19;5;89;115;4;78;89;1;6;0;83;43;105;29;9;120;15;36;329;10;494;266;36;202;18;4;9;1;371;378;298;19;59;59;23;97;709;93;337;470;3;94;7;3;104;30;38;8;10;40;29;33;501;862;784;777;436;12;8;60;22;45
21-06-2020;61;118;10;3;9;67;2;13;1;28;6;1;447;27;9;4;15;42;0;24;19;7;12;22;25;51;98;18;15;1;24;40;2;71;11;51;81;67;57;12;5;88;104;2;66;83;1;8;0;68;36;93;29;8;105;18;29;297;11;471;250;40;200;17;1;5;1;357;330;195;19;38;39;25;95;612;96;293;445;3;83;5;3;102;28;26;7;5;37;20;27;474;807;759;664;387;6;12;111;24;37
28-06-2020;51;100;7;3;8;46;1;9;1;25;6;1;386;21;9;2;9;33;0;25;13;4;1;19;26;47;97;14;13;1;17;30;2;50;10;42;81;64;39;15;4;86;91;2;47;65;1;4;0;55;35;89;30;5;90;10;27;286;8;422;239;32;187;17;0;5;0;313;285;176;19;28;35;19;87;581;90;269;369;2;80;4;3;94;14;21;1;4;34;24;23;359;743;707;621;349;8;14;134;18;34
05-07-2020;45;98;6;4;7;33;1;8;1;25;2;1;337;20;9;2;7;31;0;11;9;3;1;10;25;34;83;13;12;1;12;29;1;42;5;35;81;61;33;6;6;86;84;1;35;62;0;1;0;47;35;81;23;7;78;4;24;251;8;401;226;33;162;16;0;3;0;291;221;152;18;24;33;15;78;482;95;244;359;2;72;2;3;85;5;15;1;4;26;22;10;337;690;656;593;291;10;15;145;21;28
12-07-2020;40;62;7;3;7;30;1;9;1;23;2;1;337;18;9;2;6;22;0;10;5;3;1;11;26;35;67;11;11;1;8;23;1;42;2;35;81;55;31;4;4;89;72;1;28;55;0;1;0;47;35;77;22;12;63;3;21;232;7;254;205;33;128;15;0;2;2;243;205;151;15;17;34;14;72;406;88;218;337;2;48;2;3;78;4;14;1;1;25;19;7;283;621;622;523;276;10;14;154;20;13
19-07-2020;38;62;6;2;5;34;3;4;1;23;3;1;321;14;9;2;6;21;2;9;6;2;1;4;25;35;56;11;10;1;6;20;1;38;3;34;79;48;25;4;4;59;71;1;35;47;0;1;0;45;35;74;19;7;58;3;21;207;7;210;192;25;100;14;0;2;0;240;185;147;15;13;34;14;69;382;81;208;336;2;48;2;5;77;6;13;1;2;24;19;4;284;603;598;488;266;8;13;151;26;7
26-07-2020;31;58;3;2;3;33;1;3;1;22;6;0;290;14;9;2;5;9;1;7;9;2;1;1;20;38;52;10;9;1;5;19;1;37;3;31;79;40;23;2;3;60;73;1;9;43;0;0;0;34;32;71;19;12;54;2;18;158;0;187;140;21;86;15;1;2;0;187;153;109;0;9;28;9;70;282;43;189;331;2;41;1;5;51;8;10;3;2;8;15;0;275;565;554;308;254;6;11;152;23;12
02-08-2020;29;47;2;2;3;33;1;5;0;22;4;6;285;15;6;1;5;7;1;3;3;1;1;2;6;35;18;7;7;0;5;23;1;35;2;30;73;20;24;1;3;36;73;1;7;31;0;2;0;37;27;71;19;15;56;3;16;118;0;194;137;22;82;16;0;3;0;163;144;92;0;2;39;5;65;272;42;199;283;1;41;3;5;52;7;8;2;3;9;12;3;258;570;460;309;245;4;9;113;18;10
09-08-2020;27;48;2;2;4;51;2;2;0;21;3;4;282;12;5;1;7;6;2;2;2;1;1;1;6;36;18;6;7;0;5;22;1;28;5;33;41;22;22;0;2;35;76;1;15;21;0;4;0;24;25;42;18;18;52;1;19;116;0;178;138;23;83;18;1;3;0;132;146;83;0;3;38;5;43;283;32;194;282;1;40;2;3;49;9;7;1;3;6;13;4;241;554;461;312;228;3;5;125;22;9
16-08-2020;28;59;1;3;6;64;9;2;0;22;4;4;206;12;2;1;7;2;2;2;6;2;1;2;6;15;9;6;4;0;10;25;2;39;10;34;7;9;21;0;2;9;74;1;20;25;0;3;0;24;10;47;18;19;43;2;17;106;0;153;140;22;95;18;4;5;3;136;148;78;0;6;34;4;40;287;27;187;275;1;41;2;3;52;5;8;1;3;10;16;5;246;569;449;323;227;3;4;92;26;8
